date,AAPL
2014-07-01,21
2014-07-02,22
2014-07-03,22
2014-07-04,8
2014-07-05,4
2014-07-06,4
2014-07-07,23
2014-07-08,25
2014-07-09,20
2014-07-10,20
2014-07-11,21
2014-07-12,6
2014-07-13,4
2014-07-14,23
2014-07-15,23
2014-07-16,30
2014-07-17,24
2014-07-18,22
2014-07-19,7
2014-07-20,5
2014-07-21,23
2014-07-22,49
2014-07-23,48
2014-07-24,30
2014-07-25,24
2014-07-26,9
2014-07-27,6
2014-07-28,24
2014-07-29,28
2014-07-30,22
2014-07-31,22
2014-08-01,24
2014-08-02,7
2014-08-03,5
2014-08-04,19
2014-08-05,22
2014-08-06,21
2014-08-07,20
2014-08-08,19
2014-08-09,6
2014-08-10,4
2014-08-11,20
2014-08-12,19
2014-08-13,21
2014-08-14,19
2014-08-15,20
2014-08-16,8
2014-08-17,5
2014-08-18,22
2014-08-19,31
2014-08-20,30
2014-08-21,25
2014-08-22,28
2014-08-23,9
2014-08-24,6
2014-08-25,23
2014-08-26,22
2014-08-27,25
2014-08-28,26
2014-08-29,24
2014-08-30,8
2014-08-31,5
2014-09-01,9
2014-09-02,27
2014-09-03,38
2014-09-04,40
2014-09-05,32
2014-09-06,9
2014-09-07,7
2014-09-08,31
2014-09-09,100
2014-09-10,64
2014-09-11,40
2014-09-12,39
2014-09-13,12
2014-09-14,8
2014-09-15,33
2014-09-16,31
2014-09-17,29
2014-09-18,27
2014-09-19,30
2014-09-20,9
2014-09-21,6
2014-09-22,28
2014-09-23,25
2014-09-24,26
2014-09-25,38
2014-09-26,32
2014-09-27,10
2014-09-28,6
2014-09-29,25
2014-09-30,25
2014-10-01,24
