date,AMZN
2013-01-01,8
2013-01-02,16
2013-01-03,16
2013-01-04,19
2013-01-05,6
2013-01-06,2
2013-01-07,20
2013-01-08,20
2013-01-09,14
2013-01-10,13
2013-01-11,17
2013-01-12,7
2013-01-13,10
2013-01-14,17
2013-01-15,14
2013-01-16,13
2013-01-17,17
2013-01-18,17
2013-01-19,9
2013-01-20,8
2013-01-21,8
2013-01-22,12
2013-01-23,20
2013-01-24,24
2013-01-25,27
2013-01-26,13
2013-01-27,5
2013-01-28,19
2013-01-29,78
2013-01-30,100
2013-01-31,46
2013-02-01,35
2013-02-02,13
2013-02-03,3
2013-02-04,23
2013-02-05,16
2013-02-06,18
2013-02-07,24
2013-02-08,17
2013-02-09,6
2013-02-10,3
2013-02-11,17
2013-02-12,15
2013-02-13,26
2013-02-14,18
2013-02-15,20
2013-02-16,7
2013-02-17,6
2013-02-18,7
2013-02-19,14
2013-02-20,20
2013-02-21,20
2013-02-22,21
2013-02-23,6
2013-02-24,3
2013-02-25,13
2013-02-26,13
2013-02-27,14
2013-02-28,11
2013-03-01,16
2013-03-02,8
2013-03-03,4
2013-03-04,12
2013-03-05,20
2013-03-06,10
2013-03-07,15
2013-03-08,18
2013-03-09,7
2013-03-10,3
2013-03-11,13
2013-03-12,16
2013-03-13,12
2013-03-14,17
2013-03-15,17
2013-03-16,4
2013-03-17,5
2013-03-18,17
2013-03-19,19
2013-03-20,11
2013-03-21,10
2013-03-22,13
2013-03-23,9
2013-03-24,3
2013-03-25,12
2013-03-26,11
2013-03-27,12
2013-03-28,15
2013-03-29,6
2013-03-30,5
2013-03-31,2
2013-04-01,12
