date,GOOG
2015-07-01,65
2015-07-02,72
2015-07-03,66
2015-07-04,58
2015-07-05,64
2015-07-06,68
2015-07-07,72
2015-07-08,64
2015-07-09,70
2015-07-10,64
2015-07-11,66
2015-07-12,68
2015-07-13,69
2015-07-14,71
2015-07-15,73
2015-07-16,82
2015-07-17,100
2015-07-18,79
2015-07-19,72
2015-07-20,83
2015-07-21,79
2015-07-22,74
2015-07-23,71
2015-07-24,72
2015-07-25,68
2015-07-26,62
2015-07-27,70
2015-07-28,65
2015-07-29,71
2015-07-30,71
2015-07-31,69
2015-08-01,66
2015-08-02,60
2015-08-03,68
2015-08-04,65
2015-08-05,76
2015-08-06,63
2015-08-07,68
2015-08-08,65
2015-08-09,64
2015-08-10,81
2015-08-11,99
2015-08-12,76
2015-08-13,76
2015-08-14,73
2015-08-15,64
2015-08-16,65
2015-08-17,74
2015-08-18,68
2015-08-19,70
2015-08-20,75
2015-08-21,76
2015-08-22,66
2015-08-23,65
2015-08-24,85
2015-08-25,75
2015-08-26,76
2015-08-27,78
2015-08-28,74
2015-08-29,64
2015-08-30,64
2015-08-31,76
2015-09-01,78
2015-09-02,79
2015-09-03,76
2015-09-04,76
2015-09-05,59
2015-09-06,66
2015-09-07,70
2015-09-08,74
2015-09-09,77
2015-09-10,74
2015-09-11,76
2015-09-12,64
2015-09-13,64
2015-09-14,77
2015-09-15,73
2015-09-16,72
2015-09-17,75
2015-09-18,72
2015-09-19,63
2015-09-20,62
2015-09-21,74
2015-09-22,75
2015-09-23,70
2015-09-24,71
2015-09-25,72
2015-09-26,66
2015-09-27,65
2015-09-28,72
2015-09-29,75
2015-09-30,71
2015-10-01,74
